created_at_iso,route_id,route_short_name,summary_en,plain_en
2025-08-14T12:13:07+10:00,aus:vic:vic-02-HBE:;aus:vic:vic-02-HBE-R:,Hurstbridge,17 car spaces in Beetham Parade car park closed from 27 May to 14 August for project works.,"From 27 May to 14 August, 17 car spaces in Beetham Parade car park are closed for work. Follow signs for safety."
2025-08-14T12:13:07+10:00,aus:vic:vic-02-WIL:;aus:vic:vic-02-WER:;aus:vic:vic-02-WIL-R:;aus:vic:vic-02-WER-R:,Werribee,"From 7pm Sunday 10 August to 4am Friday 15 August, 12 car spaces at Newport Station will be closed for maintenance.",12 car spaces at Newport Station will be closed from 7pm on Sunday 10 August to 4am on Friday 15 August for maintenance.
2025-08-14T12:13:07+10:00,aus:vic:vic-02-WER:;aus:vic:vic-02-WER-R:,Werribee,First service on Thursday 14 August until 8.30pm Friday 15 August.,The first service will run from Thursday 14 August to 8.30pm on Friday 15 August.
2025-08-14T12:13:07+10:00,aus:vic:vic-02-SUY:;aus:vic:vic-02-SUY-R:,Sunbury,Disruption from 10pm on 15 August to 4am on 16 August.,There will be disruption from 10pm on Friday 15 August until 4am on Saturday 16 August.
2025-08-14T12:13:07+10:00,aus:vic:vic-02-PKM:;aus:vic:vic-02-CBE-R:;aus:vic:vic-02-CBE:;aus:vic:vic-02-PKM-R:,Cranbourne,Disruption from 1am to 4am on Saturday 16 August.,There will be disruption from 1am to 4am on Saturday 16 August.
2025-08-14T12:13:07+10:00,aus:vic:vic-02-WIL:;aus:vic:vic-02-WER:;aus:vic:vic-02-WIL-R:;aus:vic:vic-02-WER-R:,Werribee,Transport will be disrupted from 8.30pm on Friday 15 August to 5am on Saturday 16 August.,There will be transport disruption from 8.30pm on Friday 15 August until 5am on Saturday 16 August.
2025-08-14T12:13:07+10:00,aus:vic:vic-02-BEG:;aus:vic:vic-02-BEG-R:,Belgrave,Transport will be disrupted from 10.30pm on Friday 15 August to 5am on Saturday 16 August.,Transport will be affected from 10.30pm on Friday 15 August until 5am on Saturday 16 August.
2025-08-14T12:13:07+10:00,aus:vic:vic-02-FKN-R:;aus:vic:vic-02-FKN:,Frankston,Level 6 of the car park is closed from 10pm on 3 August to 5pm on 16 August for works.,Level 6 of the car park will be closed from 10pm on 3 August until 5pm on 16 August for repairs.
2025-08-14T12:13:07+10:00,aus:vic:vic-02-CGB:;aus:vic:vic-02-CGB-R:;aus:vic:vic-02-UFD-R:;aus:vic:vic-02-UFD:,Craigieburn,More trains will run from 4.30am Saturday 16 August to 12.30am Sunday 17 August.,More trains will be available from 4.30am on Saturday 16 August until 12.30am on Sunday 17 August.
2025-08-14T12:13:07+10:00,aus:vic:vic-02-PKM-R:;aus:vic:vic-02-CBE-R:;aus:vic:vic-02-CBE:;aus:vic:vic-02-PKM:;aus:vic:vic-02-SUY:;aus:vic:vic-02-SUY-R:,Cranbourne,"From 16 to 17 August, Metro Tunnel works will change train journeys. Trains will end at Caulfield or Footscray. Allow extra time.","From 16 to 17 August, trains will only go to Caulfield or Footscray. Change trains to reach the City. Allow extra time for your journey."
2025-08-14T12:13:07+10:00,aus:vic:vic-02-WER:;aus:vic:vic-02-WER-R:,Werribee,Disruption from 5am on Saturday 16 August to last service on Sunday 17 August.,Services will be disrupted from 5am on Saturday 16 August until the last service on Sunday 17 August.
2025-08-14T12:13:07+10:00,aus:vic:vic-02-WER:;aus:vic:vic-02-WER-R:,Werribee,"Southern car park closed for works, 2am 7 Aug to 3pm 18 Aug. Follow signage for safety.","From 2am on 7 August to 3pm on 18 August, 102 car spaces in the southern car park are closed for works. Follow signs for safety."
2025-08-14T12:13:07+10:00,aus:vic:vic-02-WER:;aus:vic:vic-02-WER-R:,Werribee,Car park closures from 3 to 23 August for bus operations and project works. Follow signage for safety.,"From 3 to 23 August, parts of the northern car park are closed for bus operations and project works. Follow signs for safety."
2025-08-14T12:13:07+10:00,aus:vic:vic-02-SUY:;aus:vic:vic-02-SUY-R:,Sunbury,"From 7 July to late August, 90 car spaces in the south-east car park on Watergardens Circuit Road are closed for upgrades.","From 7 July to late August, 90 parking spaces in the south-east car park on Watergardens Circuit Road are closed for upgrades."
2025-08-14T12:13:07+10:00,aus:vic:vic-02-SUY:;aus:vic:vic-02-SUY-R:,Sunbury,"From 27 May to mid-September, 50 parking spaces will be closed for construction. Alternative parking is available nearby.","From 27 May to mid-September, 50 parking spaces will be closed for construction. You can park at Watergardens Circuit Road or Keilor Plains Station."
2025-08-14T12:13:07+10:00,aus:vic:vic-02-PKM:;aus:vic:vic-02-CBE-R:;aus:vic:vic-02-CBE:;aus:vic:vic-02-PKM-R:,Cranbourne,"From 15 July to 20 November, half of the northern car park will be closed for construction of new staff facilities.",Half of the northern car park will be closed from 15 July to 20 November for building new staff facilities. Follow signs for safety.
2025-08-14T12:13:07+10:00,aus:vic:vic-02-LIL-R:;aus:vic:vic-02-BEG:;aus:vic:vic-02-LIL:;aus:vic:vic-02-BEG-R:,Belgrave,Car spaces closed due to project works from 6am Monday 7 April until late 2025.,"From 6am on Monday 7 April until late 2025, some car spaces are closed for project works."
2025-08-14T12:13:07+10:00,aus:vic:vic-02-SUY:;aus:vic:vic-02-SUY-R:,Sunbury,Car park closures and shuttle bus service due to project works from April to late 2025. Follow signage for safety.,"Car parks will be closed at various times for project works until late 2025. A shuttle bus will run, but no bikes or animals allowed."
2025-08-14T12:13:07+10:00,aus:vic:vic-02-SUY:;aus:vic:vic-02-SUY-R:,Sunbury,Reduced parking at Albion station until 2025 due to Melbourne Airport Rail works. Consider walking or cycling.,Parking at Albion station is reduced until 2025. 57 spaces at Ballarat Road car park are closed until February 2025. Sydney Street car park is also closed.
2025-08-14T12:12:59+10:00,aus:vic:vic-02-HBE:;aus:vic:vic-02-HBE-R:,,17 car spaces in Beetham Parade car park closed from 27 May to 14 August for project works.,"From 27 May to 14 August, 17 car spaces in Beetham Parade car park are closed for work. Follow signs for safety."
2025-08-14T12:12:59+10:00,aus:vic:vic-02-BEG:;aus:vic:vic-02-BEG-R:,,"Service disrupted from 8.30pm to last service, 10-14 August.","From 10 to 14 August, services will be disrupted each night from 8.30pm until the last service."
2025-08-14T12:12:59+10:00,aus:vic:vic-02-WER:;aus:vic:vic-02-WER-R:,,Buses replace trains on the Werribee line from 8:30pm 8 August to 17 August. Allow extra travel time.,Buses are replacing trains on the Werribee line from 8:30pm on 8 August until 17 August. Extra travel time is needed.
