created_at_iso,route_id,route_short_name,summary_en,plain_en,text
2025-08-21T20:07:30+10:00,4T.T.WT28,,Train service delays at Orange Station,Train service delays at Orange Station,"Train service delays at Orange Station There are delays on route 428 train services due to customer boarding delays. 
 Plan ahead and allow extra travel time."
2025-08-21T20:07:30+10:00,4T.T.BMT,,Buses replace trains between Springwood and Penrith,Buses replace trains between Springwood and Penrith,"Buses replace trains between Springwood and Penrith Wednesday 20 and Thursday 21 August Nightly from 10 PM to 2 AM, buses replace trains between Springwood and Penrith."
2025-08-21T20:07:30+10:00,4T.T.NT32,,CLK32 Alteration.,CLK32 Alteration.,CLK32 Alteration. Due to an operational issue this service is replaced by road coaches from Brisbane to Grafton. At Grafton passengers will join the XPT train for the remainder of their journey. The XPT will depart Casino on time.
2025-08-21T20:07:30+10:00,5968_S377,,Nabiac to Wallanbah diversion,Nabiac to Wallanbah diversion,"Nabiac to Wallanbah diversion Route 377 school buses are diverting away from Dargavilles Road causeway between Wang Wauk Road and Wallanbah Road, due to flooding. Buses are using Wallanbah Road and Dargavilles Road instead. Please meet bus at the corner of Wallanbah Road and Dargavilles Road. Three stops are being missed."
2025-08-21T20:07:30+10:00,4T.T.NT31,,23rd August [redacted-phone]Sydney to Brisbane XPT service,23rd August [redacted-phone]Sydney to Brisbane XPT service,23rd August [redacted-phone]Sydney to Brisbane XPT service Due to planned trackwork this XPT service will be replaced by road coaches for the entire journey
2025-08-21T20:07:30+10:00,4T.T.NP44,,23rd August - 24th August - 244 - Moree to Sydney Xplorer Service,23rd August - 24th August - 244 - Moree to Sydney Xplorer Service,23rd August - 24th August - 244 - Moree to Sydney Xplorer Service Due to planned trackwork this service has been replaced by road coaches between Muswellbrook and Sydney. At Muswellbrook customers will board the awaiting road coaches for the remainder of the journey.
2025-08-21T20:07:30+10:00,4T.T.NP43,,23rd August - 24th August -243- Sydney to Moree Xplorer Service,23rd August - 24th August -243- Sydney to Moree Xplorer Service,23rd August - 24th August -243- Sydney to Moree Xplorer Service Due to planned trackwork this service has been replaced by road coaches between Sydney and Muswellbrook. At Muswellbrook customers will board the Xplorer train service for the remainder of the journey.
2025-08-21T20:07:30+10:00,4T.T.NT32,,23rd August to 24th August [redacted-phone]Brisbane to Sydney XPT service,23rd August to 24th August [redacted-phone]Brisbane to Sydney XPT service,23rd August to 24th August [redacted-phone]Brisbane to Sydney XPT service Due to planned trackwork this XPT service will be replaced by road coaches for the entire journey
2025-08-21T20:07:30+10:00,BNK_1a;BNK_1b;BNK_1c;BNK_1d;BNK_1e;BNK_1f;BNK_1g;BNK_1h;BNK_2a;BNK_2b;BNK_2c;BNK_2d;BNK_2e;BNK_2f;BNK_2g;BNK_2h;T3_1a;T3_1b;T3_1c;T3_1d;T3_2a;T3_2b;T3_2c;T3_2d,,Trains run to a changed timetable and stopping pattern,Trains run to a changed timetable and stopping pattern,Trains run to a changed timetable and stopping pattern Saturday 23 and Sunday 24 August Inner West trains will not run. T1 Western and T2 Leppington trains make extra stops.
2025-08-21T20:07:30+10:00,CCN_1a;CCN_1b;CCN_1c;CCN_2a;CCN_2b,,Buses replace trains between Newcastle Interchange and Hornsby,Buses replace trains between Newcastle Interchange and Hornsby,Buses replace trains between Newcastle Interchange and Hornsby Saturday 23 and Sunday 24 August Buses replace trains between Newcastle Interchange and Hornsby.
